continent,year,countries_count,total_population,total_gdp,total_emissions,total_primary_energy,total_fossil_fuel,total_renewables,fossil_share,renewables_share,emissions_per_capita,energy_per_capita,gdp_per_capita,data_level,country,iso_code
Europe,2017,39,742202801,23874828745728,5701.25,30431.017,23182.548,3932.342,76.1806547576113,12.922151106550267,7.681525847542577e-6,4.100094604735937e-5,32167.52714158512,Continent,Europe,NA
Europe,2018,39,743129699,24408569376768,5717.29,30748.598,23271.891,4161.1,75.684397057713,13.532649521126134,7.6935291479987e-6,4.137716207732939e-5,32845.638398806615,Continent,Europe,NA
Europe,2019,39,743978613,24844670451712,5562.12,30261.846,22719.313,4254.868,75.07576702359796,14.060173328487629,7.476182652040832e-6,4.067569345572035e-5,33394.334215507886,Continent,Europe,NA
Europe,2020,39,744026543,23463850470400,5152.7,28385.561,20719.708,4635.126,72.99382950366913,16.329168199282726,6.925424971028218e-6,3.815127466494162e-5,31536.308336247086,Continent,Europe,NA
Europe,2021,39,742980287,24746132813824,5513.73,29603.395,21703.529,4684.534,73.31432425233659,15.824313393784731,7.421098643496041e-6,3.9844119040536536e-5,33306.58060087131,Continent,Europe,NA
Europe,2022,39,741361950,25208042082304,5331.96,28510.165,21440.894,4629.451,75.20438412054087,16.237896202985848,7.192114459070904e-6,3.8456471902826954e-5,34002.34134258441,Continent,Europe,NA
North America,2015,23,565371159,21114810173184,6599.5599999999995,32869.148,26516.602,3217.554,80.67322584692491,9.788979014606646,1.1672968977888735e-5,5.8137291718483295e-5,37346.811624651695,Continent,North America,NA
North America,2016,23,570714371,21479645579520,6473.94,32830.915,26249.085,3446.58,79.95234065209574,10.497971195746448,1.1343572772937935e-5,5.752600016445004e-5,37636.41967151376,Continent,North America,NA
North America,2017,23,576027683,21982043932480,6422.52,33057.941,26228.452,3685.373,79.34085186975197,11.148223054787351,1.1149672471557241e-5,5.738950049732245e-5,38161.436648314695,Continent,North America,NA
North America,2018,23,580988511,22613941216832,6614.5,34047.378000000004,27147.179,3726.024,79.73353777785765,10.943644470948687,1.1384906714618321e-5,5.8602497907226265e-5,38923.21584450747,Continent,North America,NA
