country,year,iso_code,population,gdp,primary_energy_consumption,fossil_fuel_consumption,coal_consumption,oil_consumption,gas_consumption,low_carbon_consumption,nuclear_consumption,renewables_consumption,hydro_consumption,solar_consumption,wind_consumption,biofuel_consumption,other_renewable_consumption,calc_fossil_share_energy,calc_coal_share_energy,calc_oil_share_energy,calc_gas_share_energy,calc_low_carbon_share_energy,calc_nuclear_share_energy,calc_renewables_share_energy,calc_hydro_share_energy,calc_solar_share_energy,calc_wind_share_energy,calc_biofuel_share_energy,calc_other_renewable_share_energy
Aruba,2015,ABW,104269,NA,5.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aruba,2016,ABW,104890,NA,5.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aruba,2017,ABW,105454,NA,5.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aruba,2018,ABW,105980,NA,5.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aruba,2019,ABW,106458,NA,5.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aruba,2020,ABW,106597,NA,4.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aruba,2021,ABW,106543,NA,4.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aruba,2022,ABW,106459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,2015,AUS,23820240,1139303383040,1601.271,1500.658,540.411,570.297,389.95,100.613,0,100.613,37.935,16.684,31.866,2.387,11.741,93.7166788132677,33.748878234852185,35.61527061940172,24.352529959013808,6.283321186732289,0,6.283321186732289,2.369055581472468,1.041922322954703,1.9900441586714552,0.14906908324699567,0.7332300403866678
Australia,2016,AUS,24195706,1169967284224,1606.503,1491.048,540.062,571.459,379.527,115.454,0,115.454,47.195,19.917,34.908,1.856,11.58,92.81327205738178,33.6172419223618,35.571611133001305,23.62441900201867,7.1866656956133905,0,7.1866656956133905,2.93774739293982,1.2397735951940334,2.172918444596742,0.11553044096400693,0.7208203159284484
